ElectionName,PrecinctNumber,WardNumber,Party,Votes
General Election,20,1,REP,28
General Election,20,1,REP,33
General Election,20,1,REP,43
General Election,20,1,LIB,3
General Election,20,1,LIB,21
General Election,20,1,LIB,9
General Election,20,1,IND,1
General Election,20,1,IND,0
General Election,20,1,IND,6
General Election,20,1,IND,11
General Election,20,1,IND,5
General Election,20,1,IND,11
General Election,20,1,IND,27
General Election,20,1,IND,19
General Election,20,1,IND,25
General Election,20,1,IND,7
General Election,20,1,IND,18
General Election,20,1,IND,6
General Election,20,1,IND,4
General Election,20,1,IND,2
General Election,20,1,IND,40
General Election,20,1,IND,145
General Election,20,1,IND,1
General Election,20,1,IND,26
General Election,20,1,IND,158
General Election,20,1,IND,198
General Election,20,1,IND,6
General Election,20,1,IND,130
General Election,20,1,IND,16
General Election,20,1,IND,9
General Election,20,1,IND,3
General Election,20,1,IND,12
General Election,20,1,IND,39
General Election,20,1,DEM,744
General Election,20,1,DEM,665
General Election,20,1,DEM,315
General Election,20,1,DEM,592
General Election,20,1,DEM,576
General Election,22,1,REP,207
General Election,22,1,REP,262
General Election,22,1,REP,337
General Election,22,1,LIB,25
General Election,22,1,LIB,160
General Election,22,1,LIB,103
General Election,22,1,IND,4
General Election,22,1,IND,4
General Election,22,1,IND,84
General Election,22,1,IND,74
General Election,22,1,IND,22
General Election,22,1,IND,73
General Election,22,1,IND,240
General Election,22,1,IND,77
General Election,22,1,IND,72
General Election,22,1,IND,15
General Election,22,1,IND,79
General Election,22,1,IND,8
General Election,22,1,IND,41
General Election,22,1,IND,27
General Election,22,1,IND,203
General Election,22,1,IND,824
General Election,22,1,IND,15
General Election,22,1,IND,96
General Election,22,1,IND,283
General Election,22,1,IND,1305
General Election,22,1,IND,69
General Election,22,1,IND,1021
General Election,22,1,IND,40
General Election,22,1,IND,71
General Election,22,1,IND,15
General Election,22,1,IND,35
General Election,22,1,IND,327
General Election,22,1,DEM,3800
General Election,22,1,DEM,3293
General Election,22,1,DEM,1600
General Election,22,1,DEM,3040
General Election,22,1,DEM,2890
General Election,23,1,REP,113
General Election,23,1,REP,118
General Election,23,1,REP,151
General Election,23,1,LIB,13
General Election,23,1,LIB,81
General Election,23,1,LIB,43
General Election,23,1,IND,1
General Election,23,1,IND,5
General Election,23,1,IND,40
General Election,23,1,IND,23
General Election,23,1,IND,64
General Election,23,1,IND,39
General Election,23,1,IND,748
General Election,23,1,IND,317
General Election,23,1,IND,81
General Election,23,1,IND,13
General Election,23,1,IND,406
General Election,23,1,IND,188
General Election,23,1,IND,24
General Election,23,1,IND,38
General Election,23,1,IND,15
General Election,23,1,IND,69
General Election,23,1,IND,16
General Election,23,1,IND,34
General Election,23,1,IND,72
General Election,23,1,IND,154
General Election,23,1,IND,35
General Election,23,1,IND,21
General Election,23,1,IND,36
General Election,23,1,IND,35
General Election,23,1,IND,671
General Election,23,1,IND,58
General Election,23,1,IND,177
General Election,23,1,DEM,2587
General Election,23,1,DEM,2234
General Election,23,1,DEM,1134
General Election,23,1,DEM,2092
General Election,23,1,DEM,2027
General Election,24,1,REP,130
General Election,24,1,REP,150
General Election,24,1,REP,199
General Election,24,1,LIB,16
General Election,24,1,LIB,98
General Election,24,1,LIB,61
General Election,24,1,IND,2
General Election,24,1,IND,9
General Election,24,1,IND,40
General Election,24,1,IND,66
General Election,24,1,IND,18
General Election,24,1,IND,37
General Election,24,1,IND,188
General Election,24,1,IND,73
General Election,24,1,IND,29
General Election,24,1,IND,15
General Election,24,1,IND,44
General Election,24,1,IND,11
General Election,24,1,IND,72
General Election,24,1,IND,15
General Election,24,1,IND,161
General Election,24,1,IND,453
General Election,24,1,IND,8
General Election,24,1,IND,77
General Election,24,1,IND,176
General Election,24,1,IND,847
General Election,24,1,IND,71
General Election,24,1,IND,829
General Election,24,1,IND,18
General Election,24,1,IND,34
General Election,24,1,IND,10
General Election,24,1,IND,29
General Election,24,1,IND,214
General Election,24,1,DEM,2624
General Election,24,1,DEM,2262
General Election,24,1,DEM,1112
General Election,24,1,DEM,2039
General Election,24,1,DEM,1994
General Election,25,1,REP,195
General Election,25,1,REP,247
General Election,25,1,REP,312
General Election,25,1,LIB,29
General Election,25,1,LIB,159
General Election,25,1,LIB,97
General Election,25,1,IND,3
General Election,25,1,IND,6
General Election,25,1,IND,56
General Election,25,1,IND,30
General Election,25,1,IND,76
General Election,25,1,IND,65
General Election,25,1,IND,1341
General Election,25,1,IND,213
General Election,25,1,IND,89
General Election,25,1,IND,14
General Election,25,1,IND,919
General Election,25,1,IND,247
General Election,25,1,IND,34
General Election,25,1,IND,45
General Election,25,1,IND,9
General Election,25,1,IND,68
General Election,25,1,IND,15
General Election,25,1,IND,49
General Election,25,1,IND,96
General Election,25,1,IND,269
General Election,25,1,IND,35
General Election,25,1,IND,18
General Election,25,1,IND,65
General Election,25,1,IND,25
General Election,25,1,IND,1394
General Election,25,1,IND,111
General Election,25,1,IND,324
General Election,25,1,DEM,4033
General Election,25,1,DEM,3447
General Election,25,1,DEM,1557
General Election,25,1,DEM,3090
General Election,25,1,DEM,2916
General Election,35,1,REP,126
General Election,35,1,REP,113
General Election,35,1,REP,182
General Election,35,1,LIB,13
General Election,35,1,LIB,65
General Election,35,1,LIB,44
General Election,35,1,IND,2
General Election,35,1,IND,10
General Election,35,1,IND,76
General Election,35,1,IND,20
General Election,35,1,IND,63
General Election,35,1,IND,45
General Election,35,1,IND,1012
General Election,35,1,IND,262
General Election,35,1,IND,136
General Election,35,1,IND,15
General Election,35,1,IND,528
General Election,35,1,IND,236
General Election,35,1,IND,35
General Election,35,1,IND,58
General Election,35,1,IND,10
General Election,35,1,IND,71
General Election,35,1,IND,14
General Election,35,1,IND,40
General Election,35,1,IND,88
General Election,35,1,IND,235
General Election,35,1,IND,38
General Election,35,1,IND,12
General Election,35,1,IND,42
General Election,35,1,IND,30
General Election,35,1,IND,1248
General Election,35,1,IND,83
General Election,35,1,IND,243
General Election,35,1,DEM,3310
General Election,35,1,DEM,2858
General Election,35,1,DEM,1309
General Election,35,1,DEM,2543
General Election,35,1,DEM,2500
General Election,36,1,REP,180
General Election,36,1,REP,146
General Election,36,1,REP,207
General Election,36,1,LIB,20
General Election,36,1,LIB,79
General Election,36,1,LIB,51
General Election,36,1,IND,6
